be,bo'lishi
cattle,qoramol
walking,yurish
playoff,musobaqa final o'yini
minimum,eng kam
fiscal,moliyaviy
skirt,yubka
dump,tashlamoq
hence,shu sababli
database,ma'lumotlar bazasi
uncomfortable,noqulay
execute,ijro etish
limb,oyoq-qo'l
ideology,mafkura
tune,sozlash
continuing,davom etmoqda
harm,zarar
railroad,temir yo'l
endure,chidang
radiation,nurlanish
horn,shox
chronic,surunkali
peaceful,tinch
innovation,yangilik
strain,zo'riqish
guitar,gitara
replacement,almashtirish
behave,o'zini tutish
administer,boshqarish
simultaneously,bir vaqtning o'zida
dancer,raqqosa
amendment,tuzatish
pad,yostiq
transmission,yuqish
await,kutmoq
retired,nafaqaga chiqqan
trigger,qo'zg'atuvchi
spill,to'kmoq
grateful,minnatdor
grace,inoyat
virtual,virtual
colony,koloniya
adoption,asrab olish
indigenous,mahalliy
closed,yopiq
convict,mahkum
towel,sochiq
modify,o'zgartirish
particle,zarracha
prize,mukofot
landing,qo'nish
boost,kuchaytirish
bat,ko'rshapalak
alarm,signal
festival,festival
grip,ushlash
weird,g'alati
undermine,buzmoq
freshman,birinchi kurs talabasi
sweat,ter
outer,tashqi
drunk,mast
separation,ajratish
traditionally,an'anaviy ravishda
govern,boshqarish
southeast,janubi-sharq
intelligent,aqlli
wherever,qayerda bo'lsa ham
ballot,ovoz berish
rhetoric,ritorika
convinced,ishonch hosil qildi
driving,haydash
vitamin,vitamin
enthusiasm,g'ayrat
accommodate,joylashtirmoq
praise,Maqtov
injure,jarohat etkazish
wilderness,cho'l
endless,cheksiz
mandate,mandat
respectively,navbati bilan
uncertainty,noaniqlik
chaos,tartibsizlik
mechanical,mexanik
canvas,kanvas
forty,qirq
lobby,lobbi
profound,chuqur
format,format
trait,xususiyat
currency,valyuta
turkey,kurka
reserve,zaxira
beam,nur
astronomer,astronom
corruption,korruptsiya
contractor,pudratchi
apologize,uzr
doctrine,ta'limot
genuine,haqiqiy
thumb,bosh barmog'i
unity,birlik
compromise,murosaga kelish
horrible,dahshatli
behavioral,xulq-atvori
exclusive,eksklyuziv
scatter,tarqalmoq
commonly,odatda
convey,etkazmoq
twist,burama
complexity,murakkablik
fork,vilka
disk,disk
relieve,yengillashtirmoq
suspicion,shubha
health-care,Sog'liqni saqlash
residence,yashash joyi
shame,uyat
meaningful,mazmunli
sidewalk,yulka
Olympics,Olimpiada
technological,texnologik
signature,imzo
pleasant,yoqimli
wow,Qoyil
suspend,to'xtatib turish
rebel,isyonchi
frozen,muzlatilgan
spouse,turmush o'rtog'i
fluid,suyuqlik
pension,pensiya
resume,Rezyume; qayta boshlash
theoretical,nazariy
sodium,natriy
promotion,rag'batlantirish
delicate,nozik
forehead,peshona
rebuild,qayta qurish
bounce,sakrash
electrical,elektr
hook,kanca
detective,detektiv
traveler,sayohatchi
click,bosing
compensation,tovon puli
exit,Chiqish
attraction,diqqatga sazovor joy
dedicate,bag'ishlang
altogether,birgalikda
pickup,olib ketish; ko'tarish
carve,o'ymakorlik
needle,igna
belly,qorin
scare,qo'rqitish
portfolio,portfel
shuttle,servis
invisible,ko'rinmas
timing,vaqt
engagement,nishon
ankle,to'piq
transaction,bitim
rescue,qutqarish
counterpart,hamkasb
historically,tarixiy jihatdan
firmly,qat'iy
mild,yumshoq
rider,chavandoz
doll,qo'g'irchoq
noon,peshin
amid,o'rtasida
identical,bir xil
precise,aniq
anxious,tashvishli
structural,tizimli
residential,Aholi yashash joyi
diagnose,tashxis qo'yish
carbohydrate,uglevod
liberty,ozodlik
poster,plakat
theology,ilohiyot
nonprofit,notijorat tashkilot
crawl,sudralib yurish
oxygen,kislorod
handsome,kelishgan
sum,sum
provided,taqdim etilgan
businessman,Tadbirkor
promising,istiqbolli
conscious,ongli
determination,qat'iyat
donor,donor
hers,uning
pastor,ruhoniy
jazz,jazz
opera,opera
acquisition,sotib olish
pit,chuqur
hug,quchoqlang
wildlife,yovvoyi hayot
punish,jazolash
equity,tenglik
doorway,eshik
departure,ketish
elevator,lift
teenage,o'spirin
guidance,ko'rsatma
happiness,baxt
statue,haykal
pursuit,ta'qib qilish
repair,ta'mirlash
decent,yaxshi
gym,sportzal
oral,og'zaki
clerk,xizmatchi
envelope,konvert
reporting,hisobot berish
destination,boradigan joy
fist,musht
endorse,tasdiqlash
exploration,razvedka
generous,saxiy
bath,Vanna
thereby,shu bilan
indicator,ko'rsatkich
sunlight,quyosh nuri
feedback,mulohaza
spectrum,spektr
purple,siyohrang
laser,lazer
bold,qalin
reluctant,istamay
starting,boshlanish
expertise,tajriba
practically,amalda
eating,ovqatlanish
hint,ishora
sharply,keskin
parade,parad
realm,shohlik
cancel,bekor qilish
blend,aralashtiramiz
therapist,terapevt
peel,tozalash
pizza,pizza
recipient,oluvchi
hesitate,ikkilanib turing
flip,aylantirish
accounting,buxgalteriya hisobi
bias,tarafkashlik
huh,ha
metaphor,metafora
candle,sham
judicial,sud
entity,tashkilot
suffering,azob
full-time,to'liq stavka
lamp,chiroq
garbage,axlat
servant,xizmatkor
regulatory,tartibga soluvchi
diplomatic,diplomatik
elegant,oqlangan
reception,ziyofat
vanish,g'oyib bo'lmoq
automatically,avtomatik ravishda
chin,iyak
necessity,zaruriyat
confess,tan olish
racism,irqchilik
starter,boshlovchi
banking,bank faoliyati
casual,tasodifiy
gravity,tortishish kuchi
enroll,ro'yxatdan o'tish
diminish,kamaytirish
prevention,oldini olish
minimize,minimallashtirish
chop,chopish
performer,ijrochi
intent,niyat
isolate,ajratmoq
inventory,inventarizatsiya
productive,samarali
assembly,yig'ilish
civic,fuqarolik
silk,ipak
magnitude,kattalik
steep,tik
hostage,garovga olingan
collector,kollektor
popularity,mashhurlik
alien,begona
dynamic,dinamik
scary,qo'rqinchli
equation,tenglama
angel,farishta
offering,qurbonlik
rage,g'azab
photography,fotosurat
toilet,hojatxona
disappointed,hafsalasi pir bo'lgan
precious,qimmatli
prohibit,taqiqlamoq
realistic,realistik
hidden,yashirin
tender,tender
gathering,yig'ilish
outstanding,ajoyib
stumble,qoqilish
lonely,yolg'izlik
automobile,avtomobil
artificial,sun'iy
dawn,tong otdi
abstract,mavhum
descend,tushmoq
silly,ahmoqona
tide,to'lqin
shared,birgalikda
hopefully,umid qilamanki
readily,tayyor holda
cooperate,hamkorlik qilish
revolutionary,inqilobiy
romance,romantik
hardware,apparat
pillow,yostiq
kit,to'plam
continent,qit'a
seal,muhr
circuit,elektron
ruling,hukm qilish
shortage,tanqislik
annually,har yili
lately,so'nggi paytlarda
scan,skanerlash
fool,ahmoq
deadline,topshirish muddati; tugatish muddati
rear,orqa
processing,qayta ishlash
ranch,chorvachilik
coastal,qirg'oq bo'yi
undertake,majburiyat
softly,yumshoq
burning,yonayotgan
verbal,og'zaki
tribal,qabila
ridiculous,kulgili
automatic,avtomatik
diamond,olmos
credibility,ishonchlilik
import,Import
sexually,jinsiy jihatdan
divine,ilohiy
sentiment,tuyg'u
cart,arava
oversee,nazorat qilish
o'clock,soat
elder,oqsoqol
pro,pro
inspiration,ilhom
Dutch,Golland
quantity,miqdor
trailer,treyler
mate,turmush o'rtoq
Greek,Yunoncha
genius,daho
monument,yodgorlik
bid,taklif qilish
quest,izlanish
sacrifice,qurbonlik
invitation,taklifnoma
accuracy,aniqlik
juror,sudya
officially,rasmiy ravishda
broker,vositachi
treasure,xazina
loyalty,sadoqat
talented,iste'dodli
gasoline,benzin
stiff,qattiq
output,chiqish
nominee,nomzod
extended,kengaytirilgan
diabetes,diabet
slap,shapaloq
toxic,zaharli
alleged,da'vo qilingan
jaw,jag '
grief,qayg'u
mysterious,sirli
rocket,raketa
donate,xayr-ehson qiling
inmate,mahbus
tackle,hal qilish
dynamics,dinamikasi
bow,kamon
ours,bizniki
dignity,qadr-qimmat
carpet,gilam
parental,ota-ona
bubble,qabariq
buddy,do'stim
barn,ombor
sword,qilich
seventh,ettinchi
glory,shon-sharaf
tightly,mahkam
protective,himoya
tuck,tortib olish
drum,baraban
faint,holsiz
queen,malika
dilemma,dilemma
input,kiritish
specialize,ixtisoslashmoq
northeast,shimoli-sharqda
shallow,sayoz
liability,javobgarlik
sail,suzib yurish
merchant,savdogar
stadium,stadion
improved,yaxshilandi
bloody,qonli
associated,bog'liq
withdrawal,chekinish
refrigerator,muzlatgich
nest,uya
thoroughly,yaxshilab
lane,chiziq
ancestor,ajdod
condemn,mahkum qilmoq
steam,bug '
accent,urg'u
optimistic,nekbin
unite,birlashmoq
cage,qafas
equip,jihozlamoq
shrimp,mayda qisqichbaqa
homeland,vatan
rack,tokcha
costume,kostyum
wolf,bo'ri
courtroom,sud zali
statute,nizom
cartoon,multfilm
productivity,hosildorlik
grin,kulish
symbolic,ramziy
bug,xato
bless,baraka
aunt,xola
agriculture,qishloq xo'jaligi
hostile,dushman
conceive,homilador bo'lish
combined,birlashtirilgan
instantly,bir zumda
bankruptcy,bankrotlik
vaccine,emlash
bonus,bonus
collaboration,hamkorlik
mixed,aralashgan
opposed,qarshi chiqdi
orbit,orbitada
grasp,tushunish
patience,sabr
spite,g'azab
tropical,tropik
voting,ovoz berish
patrol,patrul
willingness,tayyorlik
revelation,Vahiy
calm,sokin
jewelry,zargarlik buyumlari
Cuban,Kuba
haul,sudramoq
concede,tan olish
wagon,vagon
afterward,keyin
spectacular,ajoyib
ruin,xarob
sheer,shaffof
immune,immunitetga ega
reliability,ishonchlilik
ass,eshak
alongside,yonma-yon
bush,buta
exotic,ekzotik
fascinating,ajoyib
clip,klip
thigh,son
bull,buqa
drawer,tortma
sheep,qo'ylar
discourage,tushkunlikka tushirish
coordinator,koordinator
ideological,mafkuraviy
runner,yuguruvchi
secular,dunyoviy
intimate,samimiy
empire,imperiya
cab,kabina
exam,imtihon
documentary,hujjatli
neutral,neytral
biology,biologiya
flexible,egiluvchan
progressive,progressiv
web,veb
conspiracy,fitna
casualty,halokat
republic,respublika
execution,ijro
terrific,dahshatli
whale,kit
functional,funktsional
instinct,instinkt
teammate,jamoadoshi
aluminum,alyuminiy
whoever,kim bo'lsa ham
ministry,vazirlik
verdict,hukm
instruct,ko'rsatma berish
skull,bosh suyagi
self-esteem,o'z-o'zini hurmat
cooperative,kooperativ
manipulate,manipulyatsiya qilish
bee,ari
practitioner,amaliyotchi
loop,pastadir
edit,tahrirlash
whip,qamchi
puzzle,jumboq
mushroom,qo'ziqorin
subsidy,subsidiya
boil,qaynatish
tragic,fojiali
mathematics,matematika
mechanic,mexanik
jar,banka
earthquake,zilzila
pork,cho'chqa go'shti
creativity,ijodkorlik
safely,xavfsiz
underlying,asosda
dessert,shirin
sympathy,hamdardlik
fisherman,baliqchi
incredibly,nihoyatda
isolation,izolyatsiya
sock,paypoq
eleven,o'n bir
sexy,shahvoniy
entrepreneur,Tadbirkor
syndrome,sindrom
bureau,byuro
workplace,ish joyi
ambition,ambitsiya
touchdown,tegish
utilize,foydalanish
breeze,shabada
costly,qimmat
ambitious,shuhratparast
Christianity,Nasroniylik
presumably,ehtimol
influential,ta'sirchan
translation,tarjima
uncertain,noaniq
dissolve,eritmoq
statistical,statistik
gut,ichak
metropolitan,metropoliten
rolling,prokatlash
aesthetic,estetik
spell,sehr
insert,kiritmoq
booth,stend
helmet,dubulg'a
waist,bel
expected,kutilgan
lion,sher
accomplishment,amalga oshirish
royal,qirollik
panic,vahima
crush,ezish
actively,faol ravishda
cliff,jarlik
minimal,minimal
cord,sim
fortunately,baxtiga
cocaine,kokain
illusion,xayol
anonymous,noma'lum
tolerate,toqat qil
appreciation,minnatdorchilik
commissioner,komissar
flexibility,egiluvchanlik
instructional,ko'rsatma
scramble,aralashtirmoq
casino,kazino
tumor,o'sma
decorate,bezash
pulse,zarba
equivalent,teng
fixed,sobit
experienced,tajribali
donation,xayriya
diary,kundalik
sibling,qardosh
irony,kinoya
spoon,qoshiq
midst,o'rtada
alley,xiyobon
interact,o'zaro ta'sir qilish
soap,sovun
cute,yoqimli
rival,raqib
short-term,qisqa muddat
punch,musht
pin,pin
hockey,xokkey
passing,o'tish
persist,davom eting
supplier,etkazib beruvchi
known,ma'lum
momentum,momentum
purse,hamyon
shed,to'kmoq
liquid,suyuqlik
icon,belgisi
elephant,fil
consequently,natijada
legislature,qonun chiqaruvchi
franchise,franchayzing
correctly,to'g'ri
mentally,aqliy
foster,tarbiyachi
bicycle,velosiped
encouraging,dalda beruvchi
cheat,aldash
heal,shifo
fever,isitma
filter,filtr
rabbit,quyon
coin,tanga
exploit,ekspluatatsiya
accessible,kirish mumkin
organism,organizm
sensation,sensatsiya
partially,qisman
upstairs,yuqori qavat
dried,quritilgan
conservation,konservatsiya
shove,surish
backyard,orqa hovli
charter,nizom
stove,pechka
consent,rozilik
comprise,o'z ichiga oladi
reminder,eslatma
alike,bir xil
placement,joylashtirish
dough,xamir
grandchild,nabira
dam,to'g'on
reportedly,xabarlarga ko'ra
well-known,taniqli
surrounding,atrof
ecological,ekologik
outfit,kiyim
unprecedented,misli ko'rilmagan
columnist,sharhlovchi
workout,tayyorlamoq
preliminary,dastlabki
patent,Patent
shy,uyatchan
trash,axlat
disabled,nogiron
gross,yalpi
damn,Jin ursin
hormone,gormon
texture,to'qima
pencil,qalam
frontier,chegara
spray,buzadigan amallar
disclose,oshkor qilish
custody,qamoqqa olish
banker,bankir
beast,hayvon
interfere,aralashmoq
oak,eman
eighth,sakkizinchi
notebook,daftar
outline,kontur
attendance,qatnashish
speculation,spekülasyon
uncover,ochmoq
behalf,nomidan
innovative,innovatsion
shark,Akula
mill,tegirmon
installation,o'rnatish
stimulate,rag'batlantirish
tag,yorliq
vertical,vertikal
swimming,suzish
fleet,park
catalog,katalog
outsider,begona
desperately,umidsiz
stance,pozitsiya
compel,majburlamoq
sensitivity,sezgirlik
someday,bir kun
instant,lahzali
debut,debyut
proclaim,e'lon qiling
worldwide,butun dunyo bo'ylab
hike,zamm
required,talab qilinadi
confrontation,qarama-qarshilik
colorful,rangli
constitution,konstitutsiya
trainer,murabbiy
Thanksgiving,Minnatdorchilik kuni
scent,hid
stack,suyakka
eyebrow,qosh
sack,xalta
cease,to'xtatish
inherit,meros
tray,laganda
pioneer,kashshof
organizational,tashkiliy
textbook,darslik
uh,uh
nasty,yomon
shrink,kichraytirish
emerging,paydo bo'layotgan
dot,nuqta
wheat,bug'doy
fierce,shiddatli
envision,tasavvur qilish
rational,oqilona
kingdom,qirollik
aisle,qator
weaken,zaiflashtirmoq
protocol,protokol
exclusively,faqat
vocal,vokal
marketplace,bozor
openly,ochiq
unfair,adolatsiz
terrain,relyef
deploy,tarqatish
risky,xavfli
pasta,makaron
genre,janr
distract,chalg'itmoq
merit,savob
planner,rejalashtiruvchi
depressed,tushkunlikka tushgan
chunk,parcha
closest,eng yaqin
discount,chegirma
ladder,narvon
jungle,o'rmon
migration,migratsiya
breathing,nafas olish
invade,bosib olish
hurricane,bo'ron
retailer,chakana sotuvchi
classify,tasniflash
coup,to'ntarish
ambassador,elchi
density,zichlik
supportive,qo'llab-quvvatlovchi
curiosity,qiziqish
skip,o'tish
aggression,tajovuz
stimulus,rag'batlantirish
journalism,jurnalistika
robot,robot
dip,botirish
likewise,xuddi shunday
informal,norasmiy
Persian,Fors tili
feather,patlar
sphere,soha
tighten,torting
boast,maqtanish
pat,pat
perceived,idrok qilingan
sole,Soley
publicity,oshkoralik
unfold,ochmoq
well-being,farovonlik
validity,amal qilish muddati
ecosystem,ekotizim
strictly,qat'iy ravishda
partial,qisman
collar,yoqa
weed,o't
compliance,muvofiqlik
streak,chiziq
supposedly,go'yo
added,qo'shildi
builder,quruvchi
glimpse,qarash
premise,shart
specialty,ixtisosligi
deem,deb hisoblayman
artifact,artefakt
sneak,yashirincha
monkey,maymun
mentor,murabbiy
two-thirds,uchdan ikki qismi
listener,tinglovchi
lightning,chaqmoq
legally,qonuniy
sleeve,yeng
disappointment,umidsizlik
disturb,bezovta qilish
rib,qovurg'a
excessive,haddan tashqari
high-tech,yuqori texnologiya
debris,qoldiqlar
rod,novda
logical,mantiqiy
ash,kul
socially,ijtimoiy jihatdan
parish,cherkov
slavery,qullik
blank,bo'sh
commodity,tovar
cure,davolash
mineral,mineral
hunger,ochlik
dying,o'lmoq
developmental,rivojlanish
faster,Tezroq
spare,zaxira
halfway,yarim yo'l
equality,tenglik
cemetery,qabriston
harassment,ta'qib qilish
deliberately,qasddan
fame,shuhrat
regret,afsus
striking,ajoyib
likelihood,ehtimollik
carrot,sabzi
atop,tepada
toll,Yo'l uchun haq
rim,jant
embarrassed,uyaldi
fucking,lanet
cling,yopishmoq
isolated,izolyatsiya qilingan
blink,miltillamoq
suspicious,shubhali
wheelchair,nogironlar aravachasi
squad,tarkib
eligible,loyiq
processor,protsessor
plunge,tushmoq
demographic,demografik
chill,sovuq
refuge,boshpana
steer,boshqarish
legislator,qonun chiqaruvchi
rally,miting
programming,dasturlash
cheer,hayqiriq
outlet,rozetka
intact,buzilmagan
vendor,sotuvchi
thrive,rivojlanmoq
peanut,yeryong'oq
chew,chaynash
elaborate,ishlab chiqilgan
conception,kontseptsiya
auction,kim oshdi savdosi
steak,biftek
comply,rioya qilish
triumph,g'alaba
shareholder,aktsiyador
comparable,taqqoslanadigan
transport,transport
conscience,vijdon
calculation,hisoblash
considerably,sezilarli darajada
interval,oraliq
scratch,chizish
awake,uyg'oq
jurisdiction,yurisdiktsiya
inevitably,muqarrar ravishda
feminist,feministik
constraint,cheklash
emotionally,hissiy jihatdan
expedition,ekspeditsiya
allegedly,go'yo
similarity,o'xshashlik
butt,ko't
lid,qopqoq
dumb,soqov
bulk,ommaviy
sprinkle,sepmoq
mortality,o'lim
philosophical,falsafiy
conversion,konversiya
patron,homiysi
municipal,shahar
liver,jigar
harmony,Garmoniya
solely,faqat
tolerance,bag'rikenglik
goat,echki
blessing,baraka
banana,banan
palace,saroy
formerly,avval
peasant,dehqon
neat,pokiza
grandparent,bobosi
lawmaker,qonun chiqaruvchi
supermarket,Supermarket
cruise,kruiz
mobile,mobil
calendar,taqvim
widow,beva ayol
deposit,depozit
beard,soqol
brake,tormoz
screening,skrining
impulse,impuls
forbid,taqiqlash
fur,mo'yna
brutal,shafqatsiz
predator,yirtqich
poke,poke
opt,tanlov
voluntary,ixtiyoriy
valid,yaroqli
forum,forum
dancing,raqs
happily,baxtli
soar,uchmoq
removal,olib tashlash
autonomy,muxtoriyat
enact,qabul qilish
thread,ip
landmark,belgi
unhappy,baxtsiz
offender,huquqbuzar
coming,kelmoqda
privately,xususiy ravishda
fraction,kasr
distinctive,o'ziga xos
tourism,turizm
threshold,chegara
routinely,muntazam ravishda
suite,suite
regulator,regulyator
straw,somon
theological,diniy
exhaust,egzoz
globe,globus
fragile,mo'rt
objection,e'tiroz
chemistry,kimyo
old-fashioned,eskirgan
crowded,olomon
blast,portlash
prevail,ustunlik
overnight,kecha davomida
denial,rad etish
rental,ijara
fantastic,hayoliy
fragment,parcha
screw,vida
warmth,issiqlik
undergraduate,bakalavriat
headache,bosh og'rig'i
policeman,politsiyachi
projection,proektsiya
suitable,mos
graduation,Bitiruv
drill,burg'ulash
cruel,shafqatsiz
mansion,qasr
grape,uzum
authorize,avtorizatsiya qilish
cottage,yozgi uy
driveway,yo'l
charm,jozibasi
sexuality,jinsiylik
loyal,sodiq
clay,gil
balloon,shar
invention,kashfiyot
ego,ego
fare,tarif
homework,Uy ishi
disc,disk
sofa,divan
availability,mavjudlik
radar,radar
frown,qoshlarini chimirib
regain,qayta tiklash
sweater,sviter
rehabilitation,reabilitatsiya
rubber,kauchuk
retreat,chekinmoq
molecule,molekula
freely,erkin
favorable,qulay
steadily,barqaror
integrated,birlashtirilgan
ha,ha
youngster,yosh
premium,premium
accountability,javobgarlik
overwhelm,bosib olmoq
one-third,uchdan biri
contemplate,o'ylamoq
update,yangilash
spark,uchqun
ironically,kinoya bilan
fatigue,charchoq
speculate,taxmin qilmoq
marker,marker
preach,voizlik qiling
bucket,chelak
blond,sariq
confession,tan olish
provoke,qo'zg'atmoq
marble,marmar
substantially,asosan
defender,himoyachi
explicit,aniq
disturbing,bezovta qiluvchi
surveillance,nazorat
magnetic,magnit
technician,texnik
mutter,g'ichirlash
devastating,halokatli
depart,ketmoq
arrow,o'q
trauma,travma
neighboring,qo'shni
soak,ho'llash
ribbon,lenta
meantime,bu orada
transmit,uzatish
harvest,hosil
consecutive,ketma-ket
coordinate,muvofiqlashtirish
spy,ayg'oqchi
slot,uyasi
riot,g'alayon
nutrient,ozuqa moddasi
citizenship,fuqarolik
severely,qattiq
sovereignty,suverenitet
ridge,tizma
brave,jasur
lighting,yoritish
specify,belgilang
contributor,hissa qo'shuvchi
frustrate,ko'nglini qoldirmoq
articulate,aniq
importantly,muhimi
transit,tranzit
dense,zich
seminar,seminar
electronics,elektronika
sunny,quyoshli
shorts,shortilar
swell,shishiradi
accusation,ayblov
soften,yumshatish
straighten,tekislang
terribly,dahshatli
cue,ishora
bride,kelin
biography,tarjimai holi
hazard,xavf
compelling,majburiy
seldom,kamdan-kam hollarda
tile,kafel
economically,iqtisodiy jihatdan
honestly,halol
troubled,bezovta
twentieth,yigirmanchi
balanced,muvozanatli
foreigner,chet ellik
convenience,qulaylik
delight,zavq
weave,to'quv
timber,yog'och
till,qadar
accurately,aniq
plea,iltimos
bulb,lampochka
flying,uchish
sustainable,barqaror
devil,shayton
bolt,murvat
cargo,yuk
spine,umurtqa pog'onasi
seller,sotuvchi
skilled,malakali
managing,boshqarish
marine,dengiz
dock,dok
organized,uyushgan
fog,tuman
diplomat,diplomat
boring,zerikarli
sometime,qachondir
summary,xulosa
missionary,missioner
epidemic,epidemiya
fatal,halokatli
trim,qirqish
warehouse,ombor
accelerate,tezlashtirmoq
butterfly,kelebek
bronze,bronza
drown,g'arq bo'ling
inherent,xos
nationwide,umummilliy
spit,tupurish
kneel,tiz cho'k
vacuum,vakuum
selected,tanlangan
dictate,diktat qilish
